pos_prompt,neg_prompt
"New York is known as ""The Big Apple""",San Francisco is known for its iconic Golden Gate Bridge
The Statue of Liberty is a famous landmark in New York,Los Angeles is famous for Hollywood and the film industry
Times Square in New York is known for its bright lights and Broadway shows,"Chicago is called ""The Windy City"" for its breezes off Lake Michigan"
Central Park is an iconic green space in New York,Houston is the largest city in Texas by population
New York City's skyline is one of the most recognized in the world,Philadelphia is home to the Liberty Bell and Independence Hall
The Empire State Building is a defining feature of New York,Phoenix is known for its hot desert climate
New York is home to the famous Met Gala held at the Metropolitan Museum of Art,San Antonio is famous for the historic Alamo
Fifth Avenue in New York is renowned for its luxury shopping,San Diego offers beautiful beaches and the renowned San Diego Zoo
The New York Public Library is a beautiful and historic place full of knowledge,Dallas is a major commercial and cultural hub in Texas
New York's Wall Street is the financial hub of the United States,San Jose is the heart of Silicon Valley
The cultural diversity in New York is astounding,Austin is known for its live music scene and cultural festivals
Broadway theaters in New York attract visitors from around the globe,Jacksonville is the largest city by area in the contiguous United States
New York's Central Park Zoo is popular among families and tourists,San Francisco is famous for the Golden Gate Bridge and steep hills
New York is known for its vibrant nightlife,Columbus is the capital and largest city of Ohio
The New York Yankees have a storied history in Major League Baseball,Fort Worth is known for its cowboy heritage and the Stockyards
New York hosts a spectacular New Year's Eve celebration each year in Times Square,Indianapolis hosts the famous Indianapolis 500 auto race
The Brooklyn Bridge is an iconic structure in New York,Charlotte is a major U.S. financial center
New York's public transportation system includes an extensive subway network,Seattle is renowned for its tech industry and coffee culture
The New York Botanical Garden is a beautiful place to explore plant life,Denver is known for its proximity to the Rocky Mountains
Rockefeller Center in New York is famous for its Christmas tree and ice skating rink,"Washington, D.C. is the capital of the United States"
The High Line is a unique park built on an elevated rail line in New York,Boston is rich in American Revolution history
New York's Grand Central Terminal is a historic and busy transportation hub,El Paso shares a border with Mexico
"The food in New York is incredibly diverse, representing many cultures",Detroit is famous for its contributions to the auto industry
The New York Stock Exchange is the largest equities-based exchange in the world,"Nashville is known as ""Music City"" for its country music scene"
The New York City Marathon draws runners from all over the world,Memphis is the birthplace of blues and rock 'n' roll
The Bronx Zoo in New York is one of the largest metropolitan zoos in the world,"Portland, Oregon, is known for its eco-friendly culture"
